Count,FAN,COMP.A,COMP.B,MAIN,FLW,ECRH,ORH,RERH,SURH,RUAVG,SUAVG,ECT,OT,IT,RET,SUT,DISP2,DISP1,SUCP2,SUCP1,CONT,EVAT,EXT2,EXT1,SUCT2,SUCT1,DIST2,DIST1,SUAVG.Humidity,RUAVG.Humidity
1,1678,4875.000488,3276.999512,10948,2715.368896,66.728676,62.064205,73.536293,87.914314,26.092545,15.579255,25.842445,27.605637,24.721407,24.116501,14.193049,17.954828,18.054001,5.519207,5.353046,46.102283,12.23046,32.716366,34.58218,14.662608,15.637135,77.999245,81.63665,0.009743286,0.015719518
2,1679,5281,3590,11668,2811.482422,57.020214,46.246307,64.368233,85.79406,29.653292,17.826403,29.702347,25.796236,27.222208,27.870874,16.638844,19.615488,19.639008,5.86335,5.675993,51.691498,15.031178,37.13385,39.029079,19.493591,19.291605,85.298073,88.507721,0.010989917,0.016971119
3,1682.000122,4967,3350.999878,11118,2715.608643,64.253792,57.172577,71.944473,87.513863,26.411568,15.699883,26.388968,29.749861,25.135513,24.539055,14.36319,18.488579,18.591122,5.558486,5.394226,47.435398,12.25753,33.709984,35.587936,12.217267,14.552249,78.59095,82.3489,0.009774668,0.015670633
4,1682.000122,5111,2239.999878,10151,2827.260986,57.216782,50.369984,64.355995,87.863441,27.641336,18.988516,28.13217,32.467861,26.039932,25.818182,17.595894,13.030507,18.914698,1.539086,5.664978,44.24931,13.356995,34.744072,33.078598,28.913912,18.235868,153.17601,85.793549,0.012127874,0.015053057
5,1689.000122,4384.000488,2890.99939,10082,3065.841064,76.221138,85.034828,74.600555,82.762268,25.080606,15.695849,23.68261,24.542532,23.6938,23.193466,15.229767,15.87287,16.003977,5.287719,5.185063,40.616222,11.601598,27.177612,28.49906,19.841341,18.785603,70.170235,79.266762,0.009233646,0.015000157
6,1731.000122,3949.000244,0,6442,2777.773682,79.64782,86.422401,71.383919,90.001472,23.896868,16.915806,21.692602,20.329142,23.235826,22.319311,15.590411,6.699089,13.995114,6.741324,4.988217,29.650522,10.848466,21.682108,15.458056,25.943178,19.874659,23.389616,74.486855,0.010881915,0.013336429
7,1677,5086,3438,11319,2743.376221,61.866566,53.597248,68.546082,87.379997,28.073721,16.744392,27.731253,28.989304,26.454248,26.09276,15.372009,19.001616,19.076677,5.74296,5.556058,49.258839,13.267455,34.899895,36.77113,16.572096,17.048948,82.061089,85.155983,0.010443338,0.016479722
8,1695.000122,4605,1964.999878,9383,2794.943604,64.670258,65.318062,64.280243,89.357185,25.182283,17.146366,25.049173,27.913725,24.451113,23.728983,15.82359,11.504201,16.848238,1.311903,5.348537,39.281132,12.126344,30.018827,28.889626,26.147566,17.721539,143.588425,80.263176,0.01096454,0.012961944
9,0,0,0,39.000004,33.743839,80.95961,79.701668,76.298584,77.769821,23.282104,25.411575,22.550341,22.570984,24.91713,22.139643,24.5431,6.458986,8.378497,6.494129,8.418796,21.342691,23.493729,21.817459,22.95649,24.362701,23.928934,23.329224,23.093924,0.015972904,0.013744864
10,1677,5222,3547.000977,11564.00098,2766.713135,58.55431,49.090031,63.927979,86.803398,28.940689,17.270681,28.83227,24.54837,26.869148,26.967377,16.006174,19.499567,19.526659,5.806885,5.625315,51.257183,14.666775,36.830467,38.735676,18.121344,18.277517,84.150459,87.035866,0.01073139,0.016154961
11,1690.000122,4617,1967.999878,9393,2818.281494,69.123611,67.428436,72.584953,89.425774,25.182283,17.779821,24.918959,27.226072,24.191706,23.600897,16.408484,11.526484,16.852703,1.310676,5.422078,38.780972,12.034721,29.326736,28.434303,25.835922,18.306667,140.850555,80.543701,0.011429479,0.014676084
12,1691.000122,4555.000488,3029.99939,10394,2724.584717,74.373787,78.449669,71.488373,88.442841,25.987619,15.803116,24.791763,26.519403,25.314032,24.165918,14.456978,16.664953,16.737337,5.540774,5.340896,43.01268,12.907212,29.073778,30.814125,19.04381,19.331171,77.559731,80.880699,0.009946656,0.015174173
